Data,ALPA4,BBDC3,BBDC4,BBAS3,BRKM5,CMIG4,ELET6,FESA4,FJTA4,GGBR4,GOAU4,INEP4,ITSA4,ITUB3,ITUB4,KLBN4,LIGT3,LAME4,MGEL4,PETR3,PETR4,RAPT4,SUZB5+SUZB3,VIVT3,VIVT4,UNIP6,VALE3
199012,2.5908999999999996e-06,1.2275299999999999e-06,1.3231200000000002e-06,2.5517199999999997e-05,2.55171e-05,6.05087e-07,6.983860000000001e-06,1.61849e-06,1.579e-05,1.0329299999999999e-06,1.30584e-06,0.001982492,3.09617e-07,4.985869999999999e-07,5.86117e-07,2.0507e-06,0.00010669799999999999,6.90442e-07,2.11721e-05,2.14835e-06,2.6553800000000003e-06,2.3219299999999997e-06,3.14201e-05,1.35541e-06,2.17264e-06,5.71256e-06,2.28577e-06
199012,2.55891e-06,1.23649e-06,1.27587e-06,2.43969e-05,2.4808299999999998e-05,6.05087e-07,6.74304e-06,1.61849e-06,1.7070299999999998e-05,1.0329299999999999e-06,1.30584e-06,0.001982492,3.3109299999999996e-07,4.985869999999999e-07,5.76509e-07,2.06815e-06,0.000104826,6.90442e-07,1.94783e-05,2.10929e-06,2.57082e-06,2.39933e-06,3.08488e-05,1.18598e-06,2.17264e-06,5.67773e-06,2.19053e-06
199012,2.55891e-06,1.26481e-06,1.2994999999999998e-06,2.48948e-05,2.44539e-05,5.990359999999999e-07,6.678819999999999e-06,1.61849e-06,1.77105e-05,1.0665299999999998e-06,1.27805e-06,0.001982492,3.57938e-07,5.07038e-07,5.76509e-07,2.09433e-06,0.000104826,6.90442e-07,1.94783e-05,2.10929e-06,2.48794e-06,2.39933e-06,3.19913e-05,1.12951e-06,2.09775e-06,5.60807e-06,2.19053e-06
199012,2.8787799999999997e-06,1.2652799999999999e-06,1.3231200000000002e-06,2.52683e-05,2.43263e-05,6.05087e-07,6.42194e-06,1.40738e-06,1.77105e-05,1.0665299999999998e-06,1.27805e-06,0.001982492,3.57938e-07,5.3239e-07,5.71704e-07,2.1990400000000003e-06,0.000104826,6.90442e-07,1.94783e-05,2.08976e-06,2.5031599999999998e-06,2.39933e-06,3.37052e-05,1.18598e-06,2.0977200000000004e-06,5.58717e-06,2.19053e-06
199012,3.10268e-06,1.33088e-06,1.34675e-06,2.9873800000000002e-05,2.6934699999999998e-05,6.05087e-07,6.32562e-06,1.40738e-06,1.96309e-05,1.09515e-06,1.27805e-06,0.001982492,3.9373199999999997e-07,5.3239e-07,5.80352e-07,2.44338e-06,0.000104826,6.90442e-07,1.86399e-05,2.2459999999999998e-06,2.75686e-06,2.47673e-06,3.48477e-05,1.2424600000000001e-06,2.0977200000000004e-06,5.85189e-06,2.23815e-06
199012,3.1986400000000004e-06,1.3450399999999999e-06,1.37038e-06,2.86291e-05,2.76435e-05,6.05087e-07,5.9403e-06,1.5833100000000002e-06,2.13379e-05,1.12129e-06,1.30584e-06,0.001982492,3.9373199999999997e-07,5.07038e-07,5.76509e-07,2.44338e-06,0.000104826,6.90442e-07,1.99018e-05,2.34365e-06,2.7247300000000003e-06,2.55413e-06,3.59903e-05,1.1521e-06,2.17264e-06,5.921559999999999e-06,2.23815e-06
199012,3.1986400000000004e-06,1.3450399999999999e-06,1.37038e-06,2.86291e-05,2.76435e-05,6.05087e-07,5.9403e-06,1.5833100000000002e-06,2.13379e-05,1.12129e-06,1.30584e-06,0.001982492,3.9373199999999997e-07,5.07038e-07,5.76509e-07,2.44338e-06,0.000104826,6.90442e-07,1.99018e-05,2.34365e-06,2.7247300000000003e-06,2.55413e-06,3.59903e-05,1.1521e-06,2.17264e-06,5.921559999999999e-06,2.23815e-06
199012,3.1986400000000004e-06,1.3450399999999999e-06,1.37038e-06,2.86291e-05,2.76435e-05,6.05087e-07,5.9403e-06,1.5833100000000002e-06,2.13379e-05,1.12129e-06,1.30584e-06,0.001982492,3.9373199999999997e-07,5.07038e-07,5.76509e-07,2.44338e-06,0.000104826,6.90442e-07,1.99018e-05,2.34365e-06,2.7247300000000003e-06,2.55413e-06,3.59903e-05,1.1521e-06,2.17264e-06,5.921559999999999e-06,2.23815e-06
199012,3.13467e-06,1.36864e-06,1.3940000000000001e-06,2.90025e-05,2.6225900000000002e-05,5.990359999999999e-07,5.77975e-06,1.5833100000000002e-06,2.0271e-05,1.1237799999999998e-06,1.30639e-06,0.001982492,3.95079e-07,5.07038e-07,5.76509e-07,2.61791e-06,0.000104826,6.90442e-07,2.2019e-05,2.34365e-06,2.6553800000000003e-06,2.55413e-06,3.4276399999999996e-05,1.18598e-06,2.24905e-06,5.991230000000001e-06,2.181e-06
199012,3.13467e-06,1.44179e-06,1.51214e-06,3.0496199999999998e-05,2.76435e-05,6.05087e-07,6.45405e-06,1.5833100000000002e-06,2.04844e-05,1.1237799999999998e-06,1.3113900000000002e-06,0.001982492,4.1303699999999997e-07,5.19714e-07,5.95725e-07,2.53065e-06,0.00010860700000000001,7.10749e-07,2.28659e-05,2.34365e-06,2.84988e-06,2.55413e-06,3.65615e-05,1.18598e-06,2.3224700000000002e-06,5.991230000000001e-06,2.26672e-06
199012,3.1986400000000004e-06,1.58101e-06,1.6539e-06,3.0496199999999998e-05,2.4808299999999998e-05,6.05087e-07,6.42194e-06,1.5833100000000002e-06,2.13379e-05,1.1237799999999998e-06,1.1669200000000001e-06,0.001982492,4.2022e-07,5.830939999999999e-07,6.34159e-07,2.61791e-06,0.000112313,6.90462e-07,2.2442399999999997e-05,2.34365e-06,2.79069e-06,2.63153e-06,3.65615e-05,1.2424600000000001e-06,2.27752e-06,5.95639e-06,2.28577e-06
199012,3.1986400000000004e-06,1.58101e-06,1.6539e-06,3.0496199999999998e-05,2.4808299999999998e-05,6.05087e-07,6.42194e-06,1.5833100000000002e-06,2.13379e-05,1.1237799999999998e-06,1.1669200000000001e-06,0.001982492,4.2022e-07,5.830939999999999e-07,6.34159e-07,2.61791e-06,0.000112313,6.90462e-07,2.2442399999999997e-05,2.34365e-06,2.79069e-06,2.63153e-06,3.65615e-05,1.2424600000000001e-06,2.27752e-06,5.95639e-06,2.28577e-06
199101,3.1986400000000004e-06,1.58101e-06,1.6539e-06,3.0496199999999998e-05,2.4808299999999998e-05,6.05087e-07,6.42194e-06,1.5833100000000002e-06,2.13379e-05,1.1237799999999998e-06,1.1669200000000001e-06,0.001982492,4.2022e-07,5.830939999999999e-07,6.34159e-07,2.61791e-06,0.000112313,6.90462e-07,2.2442399999999997e-05,2.34365e-06,2.79069e-06,2.63153e-06,3.65615e-05,1.2424600000000001e-06,2.27752e-06,5.95639e-06,2.28577e-06
199101,3.51851e-06,1.5847999999999998e-06,1.6103299999999998e-06,3.0620599999999996e-05,2.4808299999999998e-05,6.05087e-07,6.74304e-06,1.46602e-06,2.0271e-05,1.1237799999999998e-06,1.26138e-06,0.001982492,4.1842399999999996e-07,5.830939999999999e-07,6.16812e-07,2.619e-06,0.000112313,6.90462e-07,2.2442399999999997e-05,2.34365e-06,2.89217e-06,2.63153e-06,3.65615e-05,1.2424600000000001e-06,2.39739e-06,5.4339e-06,2.28577e-06
199101,3.83837e-06,1.8922999999999999e-06,2.0365900000000003e-06,3.3608e-05,2.87067e-05,6.74672e-07,8.26825e-06,1.40738e-06,2.134e-05,1.1709100000000002e-06,1.33362e-06,0.001982492,4.48953e-07,5.42413e-07,7.035509999999999e-07,2.7488099999999997e-06,0.000112313,6.90462e-07,2.2019e-05,2.4413099999999997e-06,3.26426e-06,2.78632e-06,3.82754e-05,1.35541e-06,2.62215e-06,6.200219999999999e-06,2.4572e-06
199101,4.318169999999999e-06,1.8449900000000003e-06,2.0365900000000003e-06,3.23633e-05,2.87067e-05,7.684610000000001e-07,9.29576e-06,1.40738e-06,2.15513e-05,1.2112799999999998e-06,1.38919e-06,0.0020617920000000002,4.848699999999999e-07,5.42413e-07,7.035509999999999e-07,2.7488099999999997e-06,0.000112313,6.90462e-07,2.2019e-05,2.73426e-06,3.5517800000000007e-06,2.78632e-06,3.94179e-05,1.35541e-06,2.62215e-06,6.54855e-06,2.6667300000000002e-06
199101,4.82995e-06,1.8922999999999999e-06,1.92766e-06,3.29857e-05,2.9769899999999998e-05,7.684610000000001e-07,8.99072e-06,1.40738e-06,2.15513e-05,1.22205e-06,1.43364e-06,0.002378991,5.11807e-07,5.93264e-07,7.324639999999999e-07,2.7488099999999997e-06,0.000112313,6.90442e-07,2.2019e-05,2.83192e-06,3.5179599999999998e-06,2.70892e-06,3.94179e-05,1.3780000000000002e-06,2.69707e-06,7.31487e-06,2.76197e-06
199101,4.82995e-06,1.83696e-06,1.8375400000000002e-06,3.23633e-05,2.9769899999999998e-05,6.71647e-07,8.34853e-06,1.46602e-06,2.15513e-05,1.22474e-06,1.43364e-06,0.002378991,5.02828e-07,6.01739e-07,7.324639999999999e-07,2.82516e-06,0.000112313,6.90442e-07,2.2019e-05,2.83192e-06,3.21335e-06,2.7863099999999998e-06,3.94202e-05,1.3780000000000002e-06,2.69707e-06,6.82721e-06,2.7610200000000005e-06
199101,4.86194e-06,1.83696e-06,1.8375400000000002e-06,3.19899e-05,3.1542e-05,7.563590000000001e-07,9.632919999999999e-06,1.42498e-06,2.15513e-05,1.2112799999999998e-06,1.55589e-06,0.0021410920000000003,5.06419e-07,6.01739e-07,7.517390000000001e-07,2.9778700000000003e-06,0.000194677,6.90442e-07,2.2019e-05,3.0272199999999997e-06,3.43339e-06,2.70892e-06,4.11317e-05,1.4119e-06,2.69707e-06,7.6632e-06,2.71435e-06
199101,4.638030000000001e-06,1.7873099999999999e-06,1.78787e-06,3.17409e-05,2.87067e-05,6.65596e-07,8.54119e-06,1.42498e-06,2.15513e-05,1.1910899999999998e-06,1.55589e-06,0.0021410920000000003,5.20786e-07,6.01739e-07,7.613769999999999e-07,3.05423e-06,0.00019093299999999998,6.90442e-07,2.2019e-05,3.0272199999999997e-06,3.1627800000000003e-06,2.70892e-06,4.11317e-05,1.4119e-06,2.69707e-06,6.75755e-06,2.71435e-06
